x_img,y_img,x_field,y_field,name
707,582,52.5,34.0,P1_centro_circulo
704,503,52.5,24.85,P2_circulo_arriba_interseccion_medio
710,660,52.5,43.15,P3_circulo_abajo_interseccion_medio
696,367,52.5,0.0,P4_medio_campo_con_banda_superior
730,1034,52.5,68.0,P5_medio_campo_con_banda_inferior
1724,541,94.0,34.0,P6_punto_penalti_derecha
1441,417,88.5,13.85,P7_area_grande_dcha_esquina_interior_sup
1837,744,88.5,54.15,P8_area_grande_dcha_esquina_interior_inf
1752,476,99.5,24.84,P9_area_pequena_dcha_esquina_interior_sup
707,582,99.5,43.16,P10_area_pequena_dcha_esquina_interior_inf
